center,model,ssp,historical,piControl,1pctCO2,abrupt-4xCO2
CCCma,CanESM5,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
CCCma,CanESM5-CanOE,r1i1p2f1,r1i1p2f1,r1i1p2f1,r1i1p2f1,r1i1p2f1
CMCC,CMCC-CM2-SR5,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
CMCC,CMCC-ESM2,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
CNRM-CERFACS,CNRM-CM6-1,r1i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2
CSIRO,ACCESS-ESM1-5,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
DKRZ,MPI-ESM1-2-HR,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,r1i1p1f1,r1i1p1f1,r3i1p1f1,r3i1p1f1
EC-Earth-Consortium,EC-Earth3-CC,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
IPSL,IPSL-CM6A-LR,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
MIROC,MIROC6,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
MOHC,HadGEM3-GC31-LL,r1i1p1f3,r1i1p1f3,r1i1p1f1,r1i1p1f3,r1i1p1f3
MOHC,HadGEM3-GC31-MM,r1i1p1f3,r1i1p1f3,r1i1p1f1,r1i1p1f3,r1i1p1f3
MOHC,UKESM1-0-LL,r1i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
MRI,MRI-ESM2-0,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
NASA-GISS,GISS-E2-1-G,r1i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f1,r1i1p1f1
NCAR,CESM2,r4i1p1f1,r4i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
NCAR,CESM2-WACCM,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
NCC,NorESM2-LM,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
NCC,NorESM2-MM,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
NOAA-GFDL,GFDL-CM4,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
